auditpol.exe, C:\Windows\System32\auditpol.exe
bitsadmin.exe, C:\Windows\System32\bitsadmin.exe
cacls.exe, C:\Windows\System32\cacls.exe
CertEnrollCtrl.exe, C:\Windows\System32\CertEnrollCtrl.exe
certreq.exe, C:\Windows\System32\certreq.exe
certutil.exe, C:\Windows\System32\certutil.exe
charmap.exe, C:\Windows\System32\charmap.exe
choice.exe, C:\Windows\System32\choice.exe
clip.exe, C:\Windows\System32\clip.exe
cmstp.exe, C:\Windows\System32\cmstp.exe
convert.exe, C:\Windows\System32\convert.exe
Dism.exe, C:\Windows\System32\Dism.exe
driverquery.exe, C:\Windows\System32\driverquery.exe
eudcedit.exe, C:\Windows\System32\eudcedit.exe
eventcreate.exe, C:\Windows\System32\eventcreate.exe
explorer.exe, C:\Windows\System32\explorer.exe
find.exe, C:\Windows\System32\find.exe
forfiles.exe, C:\Windows\System32\forfiles.exe
getmac.exe, C:\Windows\System32\getmac.exe
gpresult.exe, C:\Windows\System32\gpresult.exe
gpscript.exe, C:\Windows\System32\gpscript.exe
ipconfig.exe, C:\Windows\System32\ipconfig.exe
Magnify.exe, C:\Windows\System32\Magnify.exe
mcbuilder.exe, C:\Windows\System32\mcbuilder.exe
mmc.exe, C:\Windows\System32\mmc.exe
msdt.exe, C:\Windows\System32\msdt.exe
msiexec.exe, C:\Windows\System32\msiexec.exe
mstsc.exe, C:\Windows\System32\mstsc.exe
mtstocom.exe, C:\Windows\System32\mtstocom.exe
net1.exe, C:\Windows\System32\net1.exe
NETSTAT.EXE, C:\Windows\System32\NETSTAT.EXE
openfiles.exe, C:\Windows\System32\openfiles.exe
proquota.exe, C:\Windows\System32\proquota.exe
rasdial.exe, C:\Windows\System32\rasdial.exe
raserver.exe, C:\Windows\System32\raserver.exe
rasphone.exe, C:\Windows\System32\rasphone.exe
reg.exe, C:\Windows\System32\reg.exe
Robocopy.exe, C:\Windows\System32\Robocopy.exe
rundll32.exe, C:\Windows\System32\rundll32.exe
RunLegacyCPLElevated.exe, C:\Windows\System32\RunLegacyCPLElevated.exe
schtasks.exe, C:\Windows\System32\schtasks.exe
SearchIndexer.exe, C:\Windows\System32\SearchIndexer.exe
SearchProtocolHost.exe, C:\Windows\System32\SearchProtocolHost.exe
setupugc.exe, C:\Windows\System32\setupugc.exe
setx.exe, C:\Windows\System32\setx.exe
systeminfo.exe, C:\Windows\System32\systeminfo.exe
takeown.exe, C:\Windows\System32\takeown.exe
taskkill.exe, C:\Windows\System32\taskkill.exe
tasklist.exe, C:\Windows\System32\tasklist.exe
tcmsetup.exe, C:\Windows\System32\tcmsetup.exe
timeout.exe, C:\Windows\System32\timeout.exe
tzutil.exe, C:\Windows\System32\tzutil.exe
waitfor.exe, C:\Windows\System32\waitfor.exe
wecutil.exe, C:\Windows\System32\wecutil.exe
where.exe, C:\Windows\System32\where.exe
whoami.exe, C:\Windows\System32\whoami.exe
wiaacmgr.exe, C:\Windows\System32\wiaacmgr.exe
WPDShextAutoplay.exe, C:\Windows\System32\WPDShextAutoplay.exe
